Stage,Config ID,Seed,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Mean pi_D,Mean pi_N,Mean pi_T,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,Baseline CRPS,Baseline Direction Brier,Baseline Tail Brier,Baseline Stress CRPS,Baseline Stress Tail Brier,CRPS Delta,CRPS Delta %,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta
Stage1,S1_10,102,2.5,0.15,0.02,0.05,0.7367117404937744,0.21699951589107513,0.07955233752727509,1.480620265007019,0.20007078349590302,0.042708870023489,0.08923076838254929,0.16380952298641205,0.2539682686328888,0.34970617294311523,0.3013250231742859,0.34896886348724365,0,0,0.47320011258125305,0.25217169523239136,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008022785186767578,-0.10878146014783933,-9.302794933319092e-05,-0.0009430795907974243,-0.012644648551940918,-0.005404144525527954
Stage1,S1_10,103,2.5,0.15,0.02,0.05,0.7084559202194214,0.22199566662311554,0.07856487482786179,1.1720784902572632,0.1281733363866806,0.04335473105311394,0.08538461476564407,0.1497562676668167,0.14159291982650757,0.35168349742889404,0.3010329604148865,0.34728360176086426,0,0,0.47316837310791016,0.2520679831504822,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.00011748075485229492,-0.01657989908889627,-0.0008238703012466431,-0.0003797784447669983,0.0004190206527709961,0.0001821964979171753
Stage1,S1_11,101,2.5,0.35,0.02,0.05,0.7693716883659363,0.23105740547180176,0.07829556614160538,1.2418828010559082,0.15687061846256256,0.0530916228890419,0.08692307770252228,0.18335595726966858,0.19847328960895538,0.2966395318508148,0.2966112196445465,0.40674927830696106,0,0,0.4637426733970642,0.22549624741077423,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.0003267526626586914,0.042488110575734046,-0.00014352798461914062,-0.0005549117922782898,-0.001004934310913086,-0.0022736340761184692
Stage1,S1_11,102,2.5,0.35,0.02,0.05,0.7366647720336914,0.2170921415090561,0.079441137611866,1.4788999557495117,0.19939564168453217,0.0436270646750927,0.08923076838254929,0.16756406426429749,0.2539682686328888,0.29928815364837646,0.2970176637172699,0.403694212436676,0,0,0.463657021522522,0.22535136342048645,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008492469787597656,-0.11514994384743053,-4.023313522338867e-07,-0.0010542795062065125,-0.014364957809448242,-0.006079286336898804
Stage1,S1_11,103,2.5,0.35,0.02,0.05,0.7086220383644104,0.22205908596515656,0.07851000130176544,1.172320008277893,0.12825965881347656,0.044396139681339264,0.08538461476564407,0.15345081686973572,0.14159291982650757,0.3006802499294281,0.2969489097595215,0.4023708999156952,0,0,0.46351659297943115,0.22506935894489288,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,4.863739013671875e-05,0.006864128694337573,-0.0007604509592056274,-0.0004346519708633423,0.0006605386734008789,0.00026851892471313477
Stage1,S1_12,101,2.5,0.5,0.02,0.05,0.769510805606842,0.23114046454429626,0.0782458707690239,1.241832971572876,0.1567542403936386,0.05429229885339737,0.08692307770252228,0.18681621551513672,0.19847328960895538,0.2617635428905487,0.2896047532558441,0.44863173365592957,0,0,0.4485664367675781,0.2025342583656311,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.0004658699035644531,0.060577722046686856,-6.046891212463379e-05,-0.0006046071648597717,-0.0010547637939453125,-0.0023900121450424194
Stage1,S1_12,102,2.5,0.5,0.02,0.05,0.7366483211517334,0.21716129779815674,0.0793684720993042,1.4777458906173706,0.19894671440124512,0.044247813522815704,0.08923076838254929,0.1701396405696869,0.2539682686328888,0.26422247290611267,0.29024726152420044,0.4455302953720093,0,0,0.44843703508377075,0.2023531049489975,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008656978607177734,-0.11738052950870866,6.875395774841309e-05,-0.0011269450187683105,-0.015519022941589355,-0.006528213620185852
Stage1,S1_12,103,2.5,0.5,0.02,0.05,0.7087476253509521,0.2221100777387619,0.07847034186124802,1.172542929649353,0.1283382922410965,0.04517652466893196,0.08538461476564407,0.15610837936401367,0.14159291982650757,0.26521408557891846,0.2902853488922119,0.4445006251335144,0,0,0.4481855630874634,0.20193427801132202,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,0.0001742243766784668,0.024588049232290108,-0.0007094591856002808,-0.0004743114113807678,0.0008834600448608398,0.00034715235233306885
Stage2,S2_01,101,2.5,0.5,0.0,0.05,0.769511878490448,0.23114164173603058,0.07824528217315674,1.2418317794799805,0.15675297379493713,0.054305244237184525,0.08692307770252228,0.18685311079025269,0.19847328960895538,0.26127320528030396,0.2897210419178009,0.44900578260421753,0,0,0.4483339488506317,0.20218044519424438,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.00046694278717041016,0.060717230618442274,-5.9291720390319824e-05,-0.0006051957607269287,-0.0010559558868408203,-0.0023912787437438965
Stage2,S2_01,102,2.5,0.5,0.0,0.05,0.7366483211517334,0.21716219186782837,0.0793679729104042,1.4777370691299438,0.19894348084926605,0.04425187408924103,0.08923076838254929,0.1701568216085434,0.2539682686328888,0.2638223171234131,0.29036498069763184,0.44581279158592224,0,0,0.44825756549835205,0.20206613838672638,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008656978607177734,-0.11738052950870866,6.964802742004395e-05,-0.0011274442076683044,-0.015527844429016113,-0.006531447172164917
Stage2,S2_01,103,2.5,0.5,0.0,0.05,0.7087487578392029,0.2221108376979828,0.07847008109092712,1.1725414991378784,0.1283377856016159,0.04518095403909683,0.08538461476564407,0.15612280368804932,0.14159291982650757,0.26481446623802185,0.29040762782096863,0.4447780251502991,0,0,0.4480092227458954,0.20165018737316132,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,0.00017535686492919922,0.024747875758261203,-0.0007086992263793945,-0.00047457218170166016,0.0008820295333862305,0.00034664571285247803
Stage2,S2_02,101,2.5,0.5,0.02,0.05,0.769510805606842,0.23114046454429626,0.0782458707690239,1.241832971572876,0.1567542403936386,0.05429229885339737,0.08692307770252228,0.18681621551513672,0.19847328960895538,0.2617635428905487,0.2896047532558441,0.44863173365592957,0,0,0.4485664367675781,0.2025342583656311,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.0004658699035644531,0.060577722046686856,-6.046891212463379e-05,-0.0006046071648597717,-0.0010547637939453125,-0.0023900121450424194
